date,period,gender_filter,rank,clothing_rank,category_code,category_name,product_id,brand,product_name,final_price,original_price,discount_rate,sales_label,viewers,flag,sold_out,image_url,product_url
2026-09-27,MONTHLY,F,197,114,002,아우터,4619950,무신사 스탠다드 우먼,우먼즈 신세틱 스웨이드 블루종 재킷 [브라운],99000,129900,24,판매 2.6천개,135명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20241118/4619950/4619950_17585859098739_500.jpg,https://www.musinsa.com/products/4619950
2026-09-27,MONTHLY,F,199,115,002,아우터,7159262,세컨드솔트,[에어클라우드]사선지퍼 경량 패딩 자켓 (라이트블루),59520,109000,45,,263명이 보는 중,none,False,https://image.msscdn.net/images/goods_img/20260825/7159262/7159262_17900393960157_500.jpg,https://www.musinsa.com/products/7159262
2026-09-27,MONTHLY,F,201,116,003,바지,5329566,아디다스,BB 트랙 팬츠 - 나이트스카이 / KC9302,58990,119000,50,판매 2천개,315명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250818/5329566/5329566_17587660630171_500.jpg,https://www.musinsa.com/products/5329566
2026-09-27,MONTHLY,F,202,117,001,상의,6427756,탄산마그네슘,홀스 래빗 롱슬리브 (화이트/블랙),41440,74000,44,,272명이 보는 중,none,False,https://image.msscdn.net/images/prd_img/20260506/6427756/detail_6427756_17899571974144_500.jpg,https://www.musinsa.com/products/6427756
2026-09-27,MONTHLY,F,204,118,001,상의,6719206,아디다스,럭비 폴로 셔츠 - 블루 / LC8211,119000,119000,0,,74명이 보는 중,none,False,https://image.msscdn.net/images/goods_img/20260623/6719206/6719206_17876450485213_500.jpg,https://www.musinsa.com/products/6719206
2026-09-27,MONTHLY,F,205,119,003,바지,6450038,무신사 스탠다드 우먼,우먼즈 에센셜 커브드 데님 팬츠 [워시드 블랙],45900,49900,8,판매 1.1천개,161명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260511/6450038/6450038_17846192805508_500.jpg,https://www.musinsa.com/products/6450038
2026-09-27,MONTHLY,F,206,120,002,아우터,6652080,무신사 스탠다드 우먼,우먼즈 신세틱 레더 카 코트 [블랙],143910,159900,10,,40명이 보는 중,none,False,https://image.msscdn.net/images/goods_img/20260611/6652080/6652080_17878200633645_500.jpg,https://www.musinsa.com/products/6652080
2026-09-27,MONTHLY,F,207,121,003,바지,7161034,디미트리블랙,VLAD 원턱 커브드 트랙 스웻 팬츠_(3심볼) 3 COLOR,28900,49200,41,판매 3.1천개,2천명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260825/7161034/7161034_17879099065615_500.jpg,https://www.musinsa.com/products/7161034
2026-09-27,MONTHLY,F,208,122,001,상의,2759813,세인트페인,SP 팀 로고 후드-멜란지 그레이,68000,85000,20,판매 2.1만개,105명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20220831/2759813/2759813_1_500.jpg,https://www.musinsa.com/products/2759813
2026-09-27,MONTHLY,F,211,123,001,상의,6614672,코이리스,로넥 백 레터링 롱 슬리브 티 (4컬러),22500,59900,62,판매 1.7천개,527명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260605/6614672/6614672_17859945533880_500.jpg,https://www.musinsa.com/products/6614672
2026-09-27,MONTHLY,F,217,124,002,아우터,6796669,무신사 스탠다드 우먼,[시티 레저] 우먼즈 시어 후디드 라이트 다운 재킷 [그레이],125910,139900,10,,147명이 보는 중,none,False,https://image.msscdn.net/images/goods_img/20260707/6796669/6796669_17870366582588_500.jpg,https://www.musinsa.com/products/6796669
2026-09-27,MONTHLY,F,220,125,002,아우터,5852513,쏘비,하이넥 white camo (세미오버) 후드집업,40900,56800,28,판매 3.1천개,374명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20251224/5852513/5852513_17665534602844_500.png,https://www.musinsa.com/products/5852513
2026-09-27,MONTHLY,F,221,126,002,아우터,5960423,위캔더스,WKNDRS x CHAMPION LOGO ZIP-UP HOODIE (NAVY),103200,129000,20,,434명이 보는 중,none,False,https://image.msscdn.net/images/goods_img/20260130/5960423/5960423_17879037807886_500.png,https://www.musinsa.com/products/5960423
2026-09-27,MONTHLY,F,223,127,001,상의,5861714,플레어업,Layered Bustier Long Sleeve (FL-105_Gray),49840,89000,44,판매 4.3천개,235명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20251230/5861714/5861714_17675971450368_500.jpg,https://www.musinsa.com/products/5861714
2026-09-27,MONTHLY,F,225,128,001,상의,6961663,에트오소메,Velvet Button Shirring Slim Long Sleeve (Ivory),59130,73000,19,,149명이 보는 중,none,False,https://image.msscdn.net/images/goods_img/20260730/6961663/6961663_17860726613903_500.jpg,https://www.musinsa.com/products/6961663
2026-09-27,MONTHLY,F,230,129,002,아우터,6030673,노스페이스,NJ3BS02J 화이트라벨 올레마 플렉스 자켓 BLACK,136170,178000,24,,108명이 보는 중,none,False,https://image.msscdn.net/images/goods_img/20260219/6030673/6030673_17828717372648_500.jpg,https://www.musinsa.com/products/6030673
2026-09-27,MONTHLY,F,233,130,002,아우터,5870526,아디다스,파이어버드 클래식 트랙탑 - 블랙:화이트 / KD7981,80460,109000,26,판매 3.3천개,55명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260106/5870526/5870526_17677548040128_500.jpg,https://www.musinsa.com/products/5870526
2026-09-27,MONTHLY,F,235,131,003,바지,1735427,에스이에스티,[2PACK] 와이드핏 트레이닝 스웨트 팬츠 - 6color,31400,90000,65,판매 11만개,162명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20210104/1735427/1735427_17646558259203_500.jpg,https://www.musinsa.com/products/1735427
2026-09-27,MONTHLY,F,237,132,002,아우터,5874490,아디다스,플레더 3S 트랙탑 - 블랙 / KQ5472,140270,169000,17,판매 2.8천개,118명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260107/5874490/5874490_17678506506569_500.jpg,https://www.musinsa.com/products/5874490
2026-09-27,MONTHLY,F,238,133,002,아우터,6788199,스파오,[리사이클] 베이직 퍼플리스 집업_SPFZG4TC01,22730,29900,24,판매 3.7천개,246명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260706/6788199/6788199_17865090873370_500.png,https://www.musinsa.com/products/6788199
